== TicTacToe

TOTAL
Think1000  Think500   :  4 wins,  4 losses, 12 draws
Think1000  Think1500  :  4 wins,  6 losses, 10 draws
Think1000  Think2000  :  5 wins,  6 losses,  9 draws
Think1500  Random     : 18 wins,  0 losses,  2 draws
Think1500  Think0     : 14 wins,  2 losses,  4 draws
Think1500  Think500   :  3 wins,  5 losses, 12 draws
Think1500  Think1000  :  6 wins,  4 losses, 10 draws
Think1500  Think2000  :  5 wins,  7 losses,  8 draws
Think2000  Random     : 18 wins,  0 losses,  2 draws
Think2000  Think0     : 16 wins,  2 losses,  2 draws
Think2000  Think500   :  7 wins,  3 losses, 10 draws
Think2000  Think1000  :  6 wins,  5 losses,  9 draws
Think2000  Think1500  :  7 wins,  5 losses,  8 draws

151 first move wins, 72 first move loses, 77 draws
